Dzial,Nazwa
1,"ZWIERZĘTA ŻYWE"
2,"Mięso i podroby jadalne"
3,"RYBY I SKORUPIAKI, MIĘCZAKI I POZOSTAŁE BEZKRĘGOWCE WODNE"
4,"PRODUKTY MLECZARSKIE; JAJA PTASIE; MIÓD NATURALNY; JADALNE PRODUKTY POCHODZENIA ZWIERZĘCEGO, GDZIE INDZIEJ NIEWYMIENIONE ANI NIEWŁĄCZONE"
5,"PRODUKTY POCHODZENIA ZWIERZĘCEGO, GDZIE INDZIEJ NIEWYMIENIONE ANI NIEWŁĄCZONE"
6,"DRZEWA ŻYWE I POZOSTAŁE ROŚLINY; BULWY, KORZENIE I PODOBNE; KWIATY CIĘTE I LIŚCIE OZDOBNE"
7,"WARZYWA ORAZ NIEKTÓRE KORZENIE I BULWY, JADALNE"
8,"OWOCE I ORZECHY JADALNE; SKÓRKI OWOCÓW CYTRUSOWYCH LUB MELONÓW"
9,"KAWA, HERBATA, MATÉ (HERBATA PARAGWAJSKA) I PRZYPRAWY"
10,ZBOŻA
11,"PRODUKTY PRZEMYSŁU MŁYNARSKIEGO; SŁÓD; SKROBIE; INULINA; GLUTEN PSZENNY"
12,"NASIONA I OWOCE OLEISTE; ZIARNA, NASIONA I OWOCE RÓŻNE; ROŚLINY PRZEMYSŁOWE LUB LECZNICZE; SŁOMA I PASZA"
13,"SZELAK; GUMY, ŻYWICE ORAZ POZOSTAŁE SOKI I EKSTRAKTY ROŚLINNE"
14,"MATERIAŁY ROŚLINNE DO WYPLATANIA; PRODUKTY POCHODZENIA ROŚLINNEGO, GDZIE INDZIEJ NIEWYMIENIONE ANI NIEWŁĄCZONE"
15,"TŁUSZCZE I OLEJE POCHODZENIA ZWIERZĘCEGO, ROŚLINNEGO LUB MIKROBIOLOGICZNEGO ORAZ PRODUKTY ICH ROZKŁADU; GOTOWE TŁUSZCZE JADALNE; WOSKI POCHODZENIA ZWIERZĘCEGO LUB ROŚLINNEGO"
16,"PRZETWORY Z MIĘSA, RYB, SKORUPIAKÓW, MIĘCZAKÓW LUB POZOSTAŁYCH BEZKRĘGOWCÓW WODNYCHI LUB Z OWADÓW"
17,"CUKRY I WYROBY CUKIERNICZE"
18,"KAKAO I PRZETWORY Z KAKAO"
19,"PRZETWORY ZE ZBÓŻ, MĄKI, SKROBI LUB MLEKA; PIECZYWA CUKIERNICZE"
20,"PRZETWORY Z WARZYW, OWOCÓW, ORZECHÓW LUB POZOSTAŁYCH CZĘŚCI ROŚLIN"
21,"RÓŻNE PRZETWORY SPOŻYWCZE"
22,"NAPOJE BEZALKOHOLOWE, ALKOHOLOWE I OCET"
23,"POZOSTAŁOŚCI I ODPADY PRZEMYSŁU SPOŻYWCZEGO; GOTOWA KARMA DLA ZWIERZĄT"
24,"TYTOŃ I PRZEMYSŁOWE NAMIASTKI TYTONIU; PRODUKTY, NAWET ZAWIERAJĄCE NIKOTYNĘ, PRZEZNACZONE DO WDYCHANIA BEZ SPALANIA; POZOSTAŁE WYROBY ZAWIERAJĄCE NIKOTYNĘ PRZEZNACZONE DO WPROWADZANIA NIKOTYNY DO CIAŁA LUDZKIEGO"
25,"SÓL; SIARKA; ZIEMIE I KAMIENIE; MATERIAŁY GIPSOWE, WAPNO I CEMENT"
26,"RUDY METALI, ŻUŻEL I POPIÓŁ"
27,"PALIWA MINERALNE, OLEJE MINERALNE I PRODUKTY ICH DESTYLACJI; SUBSTANCJE BITUMICZNE; WOSKI MINERALNE"
28,"CHEMIKALIA NIEORGANICZNE; ORGANICZNE LUB NIEORGANICZNE ZWIĄZKI METALI SZLACHETNYCH, METALI ZIEM RZADKICH, PIERWIASTKÓW PROMIENIOTWÓRCZYCH LUB IZOTOPÓW"
29,"CHEMIKALIA ORGANICZNE"
30,"PRODUKTY FARMACEUTYCZNE"
31,NAWOZY
32,"EKSTRAKTY GARBNIKÓW LUB ŚRODKÓW BARWIĄCYCH; GARBNIKI I ICH POCHODNE; BARWNIKI, PIGMENTY I POZOSTAŁE SUBSTANCJE BARWIĄCE; FARBY I LAKIERY; KIT I POZOSTAŁE MASY USZCZELNIAJĄCE; ATRAMENTY"
33,"OLEJKI ETERYCZNE I REZINOIDY; PREPARATY PERFUMERYJNE, KOSMETYCZNE LUB TOALETOWE"
34,"MYDŁO, ORGANICZNE ŚRODKI POWIERZCHNIOWO CZYNNE, PREPARATY PIORĄCE, PREPARATY SMAROWE, WOSKI SYNTETYCZNE, WOSKI PREPAROWANE, PREPARATY DO CZYSZCZENIA LUB SZOROWANIA, ŚWIECE I ARTYKUŁY PODOBNE, PASTY MODELARSKIE, „WOSKI DENTYSTYCZNE” ORAZ PREPARATY DENTYSTYCZNE PRODUKOWANE NA BAZIE GIPSU"
35,"SUBSTANCJE BIAŁKOWE; SKROBIE MODYFIKOWANE; KLEJE; ENZYMY"
36,"MATERIAŁY WYBUCHOWE; WYROBY PIROTECHNICZNE; ZAPAŁKI; STOPY PIROFORYCZNE; NIEKTÓRE MATERIAŁY ŁATWOPALNE"
37,"MATERIAŁY FOTOGRAFICZNE LUB KINEMATOGRAFICZNE"
38,"PRODUKTY CHEMICZNE RÓŻNE"
39,"TWORZYWA SZTUCZNE I ARTYKUŁY Z NICH"
40,"KAUCZUK I ARTYKUŁY Z KAUCZUKU"
41,"SKÓRY I SKÓRKI SUROWE (INNE NIŻ SKÓRY FUTERKOWE) ORAZ SKÓRY WYPRAWIONE"
42,"ARTYKUŁY ZE SKÓRY WYPRAWIONEJ; WYROBY SIODLARSKIE I RYMARSKIE; ARTYKUŁY PODRÓŻNE, TOREBKI I PODOBNE POJEMNIKI; ARTYKUŁY Z JELIT ZWIERZĘCYCH (INNYCH NIŻ Z JELIT JEDWABNIKÓW)"
43,"SKÓRY FUTERKOWE I FUTRA SZTUCZNE; WYROBY Z NICH"
44,"DREWNO I ARTYKUŁY Z DREWNA; WĘGIEL DRZEWNY"
45,"KOREK I ARTYKUŁY Z KORKA"
46,"WYROBY ZE SŁOMY, Z ESPARTO LUB POZOSTAŁYCH MATERIAŁÓW DO WYPLATANIA; WYROBY KOSZYKARSKIE ORAZ WYROBY Z WIKLINY"
47,"MASA WŁÓKNISTA Z DREWNA LUB Z POZOSTAŁEGO WŁÓKNISTEGO MATERIAŁU CELULOZOWEGO; PAPIER LUB TEKTURA, Z ODZYSKU (MAKULATURA I ODPADY)"
48,"PAPIER I TEKTURA; ARTYKUŁY Z MASY PAPIERNICZEJ, PAPIERU LUB TEKTURY"
49,"KSIĄŻKI, GAZETY, OBRAZKI I POZOSTAŁE WYROBY PRZEMYSŁU POLIGRAFICZNEGO, DRUKOWANE; MANUSKRYPTY, MASZYNOPISY I PLANY"
50,JEDWAB
51,"WEŁNA, CIENKA LUB GRUBA SIERŚĆ ZWIERZĘCA; PRZĘDZA I TKANINA Z WŁOSIA KOŃSKIEGO"
52,BAWEŁNA
53,"POZOSTAŁE WŁÓKNA ROŚLINNE; PRZĘDZA PAPIEROWA I TKANINY Z PRZĘDZY PAPIEROWEJ"
54,"WŁÓKNA CIĄGŁE CHEMICZNE; PASEK I PODOBNE Z MATERIAŁÓW WŁÓKIENNICZYCH CHEMICZNYCH"
55,"WŁÓKNA ODCINKOWE CHEMICZNE"
56,"WATA, FILC I WŁÓKNINY; PRZĘDZE SPECJALNE; SZPAGAT, POWROZY, LINKI I LINY ORAZ ARTYKUŁY Z NICH"
57,"DYWANY I POZOSTAŁE POKRYCIA PODŁOGOWE WŁÓKIENNICZE"
58,"TKANINY SPECJALNE; MATERIAŁY WŁÓKIENNICZE IGŁOWE; KORONKI; TKANINY OBICIOWE; PASMANTERIA; HAFTY"
59,"TEKSTYLIA IMPREGNOWANE, POKRYTE, POWLECZONE LUB LAMINOWANE; ARTYKUŁY WŁÓKIENNICZE DO CELÓW TECHNICZNYCH"
60,DZIANINY
61,"ODZIEŻ I DODATKI ODZIEŻOWE, DZIANE"
62,"ODZIEŻ I DODATKI ODZIEŻOWE, NIEDZIANE"
63,"POZOSTAŁE GOTOWE ARTYKUŁY WŁÓKIENNICZE; ZESTAWY; ODZIEŻ UŻYWANA I UŻYWANE ARTYKUŁY WŁÓKIENNICZE; SZMATY"
64,"OBUWIE, GETRY I PODOBNE; CZĘŚCI TYCH ARTYKUŁÓW"
65,"NAKRYCIA GŁOWY I ICH CZĘŚCI"
66,"PARASOLE, PARASOLE PRZECIWSŁONECZNE, LASKI, STOŁKI MYŚLIWSKIE, BICZE, SZPICRUTY I ICH CZĘŚCI"
67,"PIÓRA I PUCH, PREPAROWANE ORAZ ARTYKUŁY Z PIÓR LUB PUCHU; KWIATY SZTUCZNE; ARTYKUŁY Z WŁOSÓW LUDZKICH"
68,"ARTYKUŁY Z KAMIENIA, GIPSU, CEMENTU, AZBESTU, MIKI LUB PODOBNYCH MATERIAŁÓW"
69,"WYROBY CERAMICZNE"
70,"SZKŁO I WYROBY ZE SZKŁA"
71,"PERŁY NATURALNE LUB HODOWLANE, KAMIENIE SZLACHETNE LUB PÓŁSZLACHETNE, METALE SZLACHETNE, METALE PLATEROWANE METALEM SZLACHETNYM I ARTYKUŁY Z NICH; SZTUCZNA BIŻUTERIA; MONETY"
72,"ŻELIWO I STAL"
73,"ARTYKUŁY Z ŻELIWA LUB STALI"
74,"MIEDŹ I ARTYKUŁY Z MIEDZI"
75,"NIKIEL I ARTYKUŁY Z NIKLU"
76,"ALUMINIUM I ARTYKUŁY Z ALUMINIUM"
78,"OŁÓW I ARTYKUŁY Z OŁOWIU"
79,"CYNK I ARTYKUŁY Z CYNKU"
80,"CYNA I ARTYKUŁY Z CYNY"
81,"POZOSTAŁE METALE NIESZLACHETNE; CERMETALE; ARTYKUŁY Z TYCH MATERIAŁÓW"
82,"NARZĘDZIA, PRZYBORY, NOŻE, ŁYŻKI, WIDELCE I POZOSTAŁE SZTUĆCE Z METALI NIESZLACHETNYCH; ICH CZĘŚCI Z METALI NIESZLACHETNYCH"
83,"ARTYKUŁY RÓŻNE Z METALI NIESZLACHETNYCH"
84,"REAKTORY JĄDROWE, KOTŁY, MASZYNY I URZĄDZENIA MECHANICZNE; ICH CZĘŚCI"
85,"MASZYNY I URZĄDZENIA ELEKTRYCZNE ORAZ ICH CZĘŚCI; REJESTRATORY I ODTWARZACZE DŹWIĘKU, REJESTRATORY I ODTWARZACZE OBRAZU I DŹWIĘKU ORAZ CZĘŚCI I AKCESORIA DO TYCH ARTYKUŁÓW"
86,"LOKOMOTYWY POJAZDÓW SZYNOWYCH, TABOR SZYNOWY I JEGO CZĘŚCI; OSPRZĘT I ELEMENTY TORÓW KOLEJOWYCH LUB TRAMWAJOWYCH, I ICH CZĘŚCI; KOMUNIKACYJNE URZĄDZENIA SYGNALIZACYJNE WSZELKICH TYPÓW, MECHANICZNE (WŁĄCZAJĄC ELEKTROMECHANICZNE)"
87,"POJAZDY NIESZYNOWE ORAZ ICH CZĘŚCI I AKCESORIA"
88,"STATKI POWIETRZNE, STATKI KOSMICZNE I ICH CZĘŚCI"
89,"STATKI, ŁODZIE ORAZ KONSTRUKCJE PŁYWAJĄCE"
90,"PRZYRZĄDY I APARATURA, OPTYCZNE, FOTOGRAFICZNE, KINEMATOGRAFICZNE, POMIAROWE, KONTROLNE, PRECYZYJNE, MEDYCZNE LUB CHIRURGICZNE; ICH CZĘŚCI I AKCESORIA"
91,"ZEGARY I ZEGARKI ORAZ ICH CZĘŚCI"
92,"INSTRUMENTY MUZYCZNE; CZĘŚCI I AKCESORIA DO TAKICH ARTYKUŁÓW"
93,"BROŃ I AMUNICJA; ICH CZĘŚCI I AKCESORIA"
94,"MEBLE; POŚCIEL, MATERACE, STELAŻE POD MATERACE, PODUSZKI I PODOBNE ARTYKUŁY WYPYCHANE; LAMPY I OPRAWY OŚWIETLENIOWE, GDZIE INDZIEJ NIEWYMIENIONE ANI NIEWŁĄCZONE; REKLAMY ŚWIETLNE, PODŚWIETLANE TABLICE I ZNAKI INFORMACYJNE I PODOBNE; BUDYNKI PREFABRYKOWANE"
95,"ZABAWKI, GRY I ARTYKUŁY SPORTOWE; ICH CZĘŚCI I AKCESORIA"
96,"ARTYKUŁY PRZEMYSŁOWE RÓŻNE"
97,"DZIEŁA SZTUKI, PRZEDMIOTY KOLEKCJONERSKIE I ANTYKI"
98,"KOMPLETNY ZAKŁAD PRZEMYSŁOWY"
